Leilao21;aa;1.9451365617967085;1.739693826379535;2.0;local
Leilao33;aa;1.984326914052381;1.797551954562047;2.0;local
Leilao24;aa;1.79302747542388;0.0;2.0;local
Leilao36;aa;1.9798432824703456;1.9199884153697448;2.0;local
Leilao19;aa;1.9271790513504963;1.8365418263608189;2.0;local
Leilao8;aa;1.944735642520133;1.100173294310374;2.0;local
Leilao4;aa;1.9536327350118483;1.9466068259537335;2.0;local
Leilao3;aa;1.9247333889068277;1.100173294310374;2.0;local
Leilao21;aa;1.810990785880565;1.564321518185054;2.0;local
Leilao12;aa;1.9667098265883345;1.6589042805618128;2.0;local
Leilao1;aa;1.100173294310374;0.8181333887107086;2.0;global
Leilao16;aa;1.7588008890203262;1.6272975044396967;2.0;local
Leilao7;aa;1.891385902308245;1.8356761815181613;2.0;local
Leilao17;aa;1.5168179232861847;1.100173294310374;2.0;local
Leilao13;aa;1.8746311417198323;1.100173294310374;2.0;local
Leilao20;aa;1.5562009147976847;1.100173294310374;2.0;local
Leilao18;aa;1.9997006516053666;1.916540139995435;2.0;local
Leilao9;aa;1.9774329923160185;1.100173294310374;2.0;local
Leilao10;aa;1.901924446920033;1.8283754966050247;2.0;local
Leilao11;aa;1.100173294310374;0.8181333887107086;2.0;global
Leilao15;aa;1.8005929741084952;1.100173294310374;2.0;local
Leilao2;aa;1.100173294310374;0.8181333887107086;2.0;global
Leilao6;aa;1.821711800550005;1.100173294310374;2.0;local
Leilao14;aa;1.7938003726902454;1.7657381588879963;2.0;local
Leilao5;aa;1.4713343865950699;1.100173294310374;2.0;local
